Year,Season,Day,Location,Collector,Date
15,Summer,1,Beau,SHB,7/1/15
15,Summer,2,Beau,SHB,7/16/15
16,Summer,1,Beau,SHB,7/18/16
16,Summer,2,Beau,CTCQ,8/2/16
15,Summer,1,Bodo,LJ,7/7/15
15,Summer,2,Bodo,LJ,7/10/15
16,Summer,1,Bodo,GH,8/24/16
16,Summer,2,Bodo,GH,9/5/16
15,Summer,1,Cad,SHB,7/10/15
15,Summer,2,Cad,SHB,7/12/15
16,Summer,1,Cad,SHB,7/23/16
16,Summer,2,Cad,SHB,7/24/16
15,Summer,1,Hali,LJ/AP/EM,7/27/15
15,Summer,2,Hali,LJ/AP/EM,7/30/15
16,Summer,1,Hali,LJ,7/12/16
15,Summer,1,Lew,SHB,7/18/15
15,Summer,2,Lew,SHB,7/20/15
16,Summer,1,Lew,CTCQ,8/1/16
16,Summer,2,Lew,CTCQ,8/4/16
15,Summer,1,Lima,SHB,7/6/15
16,Summer,1,Mine,SHB,7/27/16
16,Summer,2,Mine,SHB,8/5/16
16,Summer,1,Newp,CTCQ,7/1/16
16,Summer,2,Newp,CTCQ,7/31/16
15,Summer,1,Oban,CTCQ,7/21/15
15,Summer,2,Oban,CTCQ,7/23/15
16,Summer,1,Oban,SHB,8/1/16
16,Summer,2,Oban,SHB,8/2/16
15,Summer,1,SCH,SHB/CTCQ,6/14/15
15,Summer,2,SCH,SHB/CTCQ,7/14/15
16,Summer,1,SCH,CTCQ,7/6/16
16,Summer,2,SCH,CTCQ,7/20/16
15,Summer,1,Sid,CTCQ,7/18/15
15,Summer,2,Sid,CTCQ,7/19/15
15,Summer,1,Tagus,SHB,7/4/15
15,Summer,2,Tagus,SHB,7/8/15
16,Summer,1,Green,GH,8/7/16
15,Summer,1,Torr,SHB,7/7/15
15,Summer,1,Uum,LS,9/9/15
15,Summer,2,Uum,LS,9/21/15
15,Summer,1,Viana,SHB,7/4/15
15,Summer,2,Viana,SHB,7/6/15
16,Summer,1,Viana,SHB,8/5/16
16,Summer,2,Viana,SHB,8/8/16
15,Summer,1,WH,CTCQ,6/29/15
15,Summer,2,WH,CTCQ,7/2/15