"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ max_SST_2WeeksBefore + max_dewPoint_2WeeksBefore +median_temperature_2WeeksBefore + max_TidalHeight_2WeeksBefore + max_windBearing_2WeeksBefore",0.189131158094522," max_SST_2WeeksBefore ",0.154536194255284," max_dewPoint_2WeeksBefore ",0.150674197900051,"median_temperature_2WeeksBefore ",0.113074627809927," max_TidalHeight_2WeeksBefore ",0.0943436755831562," max_windBearing_2WeeksBefore",0.0549175512142308,0.155351693950774,0.172486486646017,0.175969625552646,0.189131158094522
"t10392","measurement~ median_TidalHeight_2WeeksBefore + min_windBearing_2WeeksBefore+median_PAR_2WeeksBefore + max_windBearing_2WeeksBefore + min_windSpeed_2WeeksBefore ",0.102581119312592," median_TidalHeight_2WeeksBefore ",0.0101038072596972," min_windBearing_2WeeksBefore",0.00599070470403362,"median_PAR_2WeeksBefore ",0.00499910311206037," max_windBearing_2WeeksBefore ",0.00416947655733886," min_windSpeed_2WeeksBefore ",0.00042859451386758,0.0122885710260237,0.0496973537207275,0.0541691740683545,0.102581119312592
"t12214","measurement~ median_SST_2WeeksBefore + max_SST_2WeeksBefore +median_temperature_2WeeksBefore + min_PAR_2WeeksBefore + median_humidity_2WeeksBefore",0.238068722053683," median_SST_2WeeksBefore ",0.165220411124049," max_SST_2WeeksBefore ",0.164996988385609,"median_temperature_2WeeksBefore ",0.121793191751536," min_PAR_2WeeksBefore ",0.0263314293174282," median_humidity_2WeeksBefore",0.00840588066878341,0.165588479622744,0.194840630654763,0.229209408464577,0.238068722053682
"t13307","measurement~ median_humidity_2WeeksBefore + median_windSpeed_2WeeksBefore +min_temperature_2WeeksBefore + min_windBearing_2WeeksBefore+ max_windBearing_2WeeksBefore ",0.0901130968111599," median_humidity_2WeeksBefore ",0.0633101258503115," median_windSpeed_2WeeksBefore ",0.0593921889171097,"min_temperature_2WeeksBefore ",0.0491408012069142," min_windBearing_2WeeksBefore",0.0147982820440316," max_windBearing_2WeeksBefore ",0.00297824554100136,0.078106016481081,0.0863914029232718,0.0867537806106259,0.0901130968111599
"t14585","measurement~ median_windSpeed_2WeeksBefore +min_temperature_2WeeksBefore + min_dewPoint_2WeeksBefore + median_dewPoint_2WeeksBefore + median_windBearing_2WeeksBefore",0.14615107966507," median_windSpeed_2WeeksBefore ",0.0980385720228772,"min_temperature_2WeeksBefore ",0.0699599611105956," min_dewPoint_2WeeksBefore ",0.0648368118021239," median_dewPoint_2WeeksBefore ",0.0377027082238359," median_windBearing_2WeeksBefore",0.0308446843364707,0.133594049570905,0.133625716854413,0.135136654052546,0.14615107966507
"t3260","measurement~ max_PAR_2WeeksBefore + min_windBearing_2WeeksBefore+ max_windSpeed_2WeeksBefore +median_temperature_2WeeksBefore + max_windBearing_2WeeksBefore ",0.136186089129914," max_PAR_2WeeksBefore ",0.0475008032323206," min_windBearing_2WeeksBefore",0.0392060116371318," max_windSpeed_2WeeksBefore ",0.0236205600069133,"median_temperature_2WeeksBefore ",0.017214172428669," max_windBearing_2WeeksBefore ",0.00951811423367599,0.064855947232136,0.127577260438042,0.133698610929415,0.136186089129914
"t3536","measurement~ median_SST_2WeeksBefore + max_SST_2WeeksBefore + max_windBearing_2WeeksBefore+min_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore ",0.0689645695992996," median_SST_2WeeksBefore ",0.0351120370409885," max_SST_2WeeksBefore ",0.0346961497978512," max_windBearing_2WeeksBefore",0.00708210925851958,"min_PAR_2WeeksBefore ",0.00328612628761423," min_windSpeed_2WeeksBefore ",0.00315100947776222,0.0351121922852504,0.0352136673549586,0.0453420154771377,0.0689645695992996
"t5033","measurement~ median_humidity_2WeeksBefore+ median_dewPoint_2WeeksBefore + min_PAR_2WeeksBefore + min_TidalHeight_2WeeksBefore +median_PAR_2WeeksBefore ",0.136559142477217," median_humidity_2WeeksBefore",0.102654221269926," median_dewPoint_2WeeksBefore ",0.0346195188144246," min_PAR_2WeeksBefore ",0.0150987688090229," min_TidalHeight_2WeeksBefore ",0.0141383782330628,"median_PAR_2WeeksBefore ",0.00383716561379928,0.107464620601732,0.111880149298469,0.112290196587603,0.136559142477217
"t8053","measurement~min_temperature_2WeeksBefore + max_humidity_2WeeksBefore + max_windBearing_2WeeksBefore+ median_PAR_2WeeksBefore + median_humidity_2WeeksBefore ",0.227193748765855,"min_temperature_2WeeksBefore ",0.154620847109899," max_humidity_2WeeksBefore ",0.0704345990363587," max_windBearing_2WeeksBefore",0.0670338946041067," median_PAR_2WeeksBefore ",0.0623843165254215," median_humidity_2WeeksBefore ",0.0190077529953153,0.17145636134152,0.183372958622776,0.187095222760224,0.227193748765855
"t8371","measurement~ min_windBearing_2WeeksBefore+ min_SST_2WeeksBefore +median_temperature_2WeeksBefore + median_TidalHeight_2WeeksBefore + min_PAR_2WeeksBefore ",0.35687204412952," min_windBearing_2WeeksBefore",0.092481372906818," min_SST_2WeeksBefore ",0.0767930863413214,"median_temperature_2WeeksBefore ",0.0302042421128324," median_TidalHeight_2WeeksBefore ",0.0216562002106698," min_PAR_2WeeksBefore ",0.0188728236397088,0.115369786930376,0.247104237673229,0.3331735089066,0.35687204412952
"t8372","measurement~ min_SST_2WeeksBefore + max_humidity_2WeeksBefore+ median_TidalHeight_2WeeksBefore +median_temperature_2WeeksBefore + median_Photoperiod_2WeeksBefore ",0.224931322559397," min_SST_2WeeksBefore ",0.0918083904570432," max_humidity_2WeeksBefore",0.0872332410749642," median_TidalHeight_2WeeksBefore ",0.0660275237842967,"median_temperature_2WeeksBefore ",0.0645303987641538," median_Photoperiod_2WeeksBefore ",0.00907514981809543,0.102543796975077,0.10427110514764,0.210596848279894,0.224931322559397
